,City,FlightNumber,FlightStatus,OriginAirport,ScheduledTime,AirLine
308,EDDS,XQ 988,Arrived,İzmir,2022-06-08 08:25+02:00,SunExpress
309,EDDS,4U 1GU,Approaching,Dresden,2022-06-08 09:37+02:00,Germanwings
310,EDDS,4U 9031,Approaching,Hamburg,2022-06-08 09:27+02:00,Germanwings
311,EDDS,4U 9UW,Approaching,Berlin,2022-06-08 09:17+02:00,Germanwings
312,EDDS,AY 1391,Arrived,Helsinki,2022-06-08 09:10+02:00,Finnair
313,EDDS,BA 3271,Arrived,London,2022-06-08 09:40+02:00,British Airways
314,EDDS,CJ 1JB,Approaching,London,2022-06-08 09:32+02:00,BA Cityflyer
315,EDDS,EI 692,Arrived,Dublin,2022-06-08 09:45+02:00,Aer Lingus
316,EDDS,EW 9029,Arrived,Dresden,2022-06-08 09:45+02:00,Eurowings
317,EDDS,EW 9031,Arrived,Hamburg,2022-06-08 09:30+02:00,Eurowings
318,EDDS,EW 9049,Arrived,Berlin,2022-06-08 09:25+02:00,Eurowings
319,EDDS,LH 2006,Arrived,Munich,2022-06-08 09:40+02:00,Lufthansa
320,EDDS,LH 74,Arrived,Frankfurt-am-Main,2022-06-08 09:45+02:00,Lufthansa
321,EDDS,LO 409,Arrived,Warsaw,2022-06-08 09:40+02:00,LOT - Polish
322,EDDS,OS 151,Arrived,Vienna,2022-06-08 09:05+02:00,Austrian
323,EDDS,PC 5001,Arrived,Antalya,2022-06-08 09:00+02:00,Pegasus
324,EDDS,SK 1629,Arrived,Copenhagen,2022-06-08 09:30+02:00,SAS
325,EDDS,TK 1523,Arrived,Istanbul,2022-06-08 09:40+02:00,Turkish
326,EDDS,XR 9131,Arrived,Rodes Island,2022-06-08 09:45+02:00,Corendon  Europe
327,EDDS,AZ 418,Canceled,Milan,2022-06-08 10:00+02:00,Alitalia
328,EDDS,BA 936,Arrived,London,2022-06-08 10:00+02:00,British Airways
329,EDDS,XC 4081,Arrived,Gaziantep,2022-06-08 06:10+02:00,Corendon Air
330,EDDS,EW 9083,Arrived,Munich,2022-06-08 10:10+02:00,Eurowings
331,EDDS,EW 9337,Arrived,Birmingham,2022-06-08 10:35+02:00,Eurowings
332,EDDS,EW 9341,Arrived,Manchester,2022-06-08 10:30+02:00,Eurowings
333,EDDS,EW 9469,Arrived,London,2022-06-08 10:30+02:00,Eurowings
334,EDDS,EW 9743,Arrived,Geneva,2022-06-08 10:35+02:00,Eurowings
335,EDDS,EW 9763,Arrived,Zurich,2022-06-08 10:05+02:00,Eurowings
336,EDDS,EW 9773,Arrived,Prague,2022-06-08 10:15+02:00,Eurowings
337,EDDS,EW 9827,Canceled,Milan,2022-06-08 10:40+02:00,Eurowings
338,EDDS,H6 3207,Arrived,Varna,2022-06-08 10:20+02:00,Bulgarian Air Charter
339,EDDS,SK 1623,Arrived,Stockholm,2022-06-08 10:25+02:00,SAS
340,EDDS,SL 1623,Approaching,Stockholm,2022-06-08 10:49+02:00,SAS Ireland
341,EDDS,A3 840,Arrived,Athens,2022-06-08 11:35+02:00,Aegean
342,EDDS,DE 1515,Arrived,Palma De Mallorca,2022-06-08 11:35+02:00,Condor
343,EDDS,EW 9585,Arrived,Palma De Mallorca,2022-06-08 11:40+02:00,Eurowings
344,EDDS,EW 9755,Arrived,Vienna,2022-06-08 11:10+02:00,Eurowings
345,EDDS,EW 9785,Arrived,Budapest,2022-06-08 11:10+02:00,Eurowings
346,EDDS,EW 9861,Canceled,Nápoli,2022-06-08 11:50+02:00,Eurowings
347,EDDS,IB 3140,Arrived,Madrid,2022-06-08 11:20+02:00,Iberia
348,EDDS,KL 1855,Arrived,Amsterdam,2022-06-08 11:50+02:00,KLM
349,EDDS,LH 2012,Arrived,Munich,2022-06-08 11:40+02:00,Lufthansa
350,EDDS,SK 816,Arrived,Oslo,2022-06-08 11:05+02:00,SAS
351,EDDS,X3 2313,Arrived,Palma De Mallorca,2022-06-08 11:40+02:00,TUIfly
352,EDDS,XR 367,Arrived,Heraklion,2022-06-08 11:05+02:00,Corendon  Europe
353,EDDS,A3 540,Arrived,Thessaloniki,2022-06-08 12:00+02:00,Aegean
354,EDDS,AF 1606,Arrived,Paris,2022-06-08 12:15+02:00,Air France
355,EDDS,DE 1613,Arrived,Kerkyra Island,2022-06-08 12:30+02:00,Condor
356,EDDS,DE 1691,Arrived,Skiathos,2022-06-08 12:55+02:00,Condor
357,EDDS,XC 4039,Arrived,Ankara,2022-06-08 06:05+02:00,Corendon Air
358,EDDS,KL 1853,Arrived,Amsterdam,2022-06-08 07:40+02:00,KLM
359,EDDS,EW 9883,Canceled,Rome,2022-06-08 12:15+02:00,Eurowings
360,EDDS,LH 2014,Arrived,Munich,2022-06-08 12:40+02:00,Lufthansa
361,EDDS,PC 1001,Arrived,Istanbul,2022-06-08 12:15+02:00,Pegasus
362,EDDS,TK 7740,Arrived,Istanbul,2022-06-08 12:15+02:00,Turkish
363,EDDS,TP 542,Arrived,Lisbon,2022-06-08 12:25+02:00,TAP Air Portugal
364,EDDS,X3 6569,Arrived,Houmt El Souk,2022-06-08 12:55+02:00,TUIfly
365,EDDS,XC 3407,Arrived,Antalya,2022-06-08 12:20+02:00,Corendon Air
366,EDDS,BA 3273,Arrived,London,2022-06-08 13:15+02:00,British Airways
367,EDDS,CJ 1DB,Approaching,London,2022-06-08 13:21+02:00,BA Cityflyer
368,EDDS,EK 55,Arrived,Dubai City,2022-06-08 13:25+02:00,Emirates
369,EDDS,EW 9531,Arrived,Alicante,2022-06-08 13:25+02:00,Eurowings
370,EDDS,EW 9537,Arrived,Málaga,2022-06-08 13:05+02:00,Eurowings
371,EDDS,EW 9571,Arrived,Jerez de la Forntera,2022-06-08 13:15+02:00,Eurowings
372,EDDS,EW 9577,Arrived,Palma De Mallorca,2022-06-08 13:00+02:00,Eurowings
373,EDDS,EW 9685,Arrived,Kavala,2022-06-08 13:40+02:00,Eurowings
374,EDDS,EW 9815,Canceled,Catania,2022-06-08 13:35+02:00,Eurowings
375,EDDS,EW 9865,Canceled,Palermo,2022-06-08 13:10+02:00,Eurowings
376,EDDS,EW 9915,Arrived,Varna,2022-06-08 13:25+02:00,Eurowings
377,EDDS,IA 245,CanceledUncertain,Sulaymaniyah,2022-06-08 13:00+02:00,I A W
378,EDDS,IV 320,Arrived,Prishtina,2022-06-08 13:50+02:00,GP Aviation
379,EDDS,LH 78,Arrived,Frankfurt-am-Main,2022-06-08 13:55+02:00,Lufthansa
380,EDDS,MH 4515,Arrived,Dubai City,2022-06-08 13:25+02:00,Malaysia
381,EDDS,QF 8055,Arrived,Dubai City,2022-06-08 13:25+02:00,Qantas
382,EDDS,X3 2815,Arrived,Faro,2022-06-08 13:05+02:00,TUIfly
383,EDDS,X3 4105,Arrived,Heraklion,2022-06-08 13:50+02:00,TUIfly
384,EDDS,XQ 958,Arrived,İzmir,2022-06-08 13:55+02:00,SunExpress
385,EDDS,XR 4031,Arrived,Palma De Mallorca,2022-06-08 13:10+02:00,Corendon  Europe
386,EDDS,AF 1506,Arrived,Paris,2022-06-08 14:25+02:00,Air France
387,EDDS,DE 1779,Arrived,Palma De Mallorca,2022-06-08 14:35+02:00,Condor
388,EDDS,EW 9467,Arrived,London,2022-06-08 14:35+02:00,Eurowings
389,EDDS,EW 9637,Arrived,Kos Island,2022-06-08 14:30+02:00,Eurowings
390,EDDS,EW 9051,Arrived,Berlin,2022-06-08 10:10+02:00,Eurowings
391,EDDS,EW 9589,Arrived,Palma De Mallorca,2022-06-08 12:00+02:00,Eurowings
392,EDDS,EW 9655,Arrived,Thessaloniki,2022-06-08 12:45+02:00,Eurowings
393,EDDS,EW 9801,Canceled,Bergamo,2022-06-08 14:30+02:00,Eurowings
394,EDDS,LH 2016,Arrived,Munich,2022-06-08 14:40+02:00,Lufthansa
395,EDDS,LH 5795,Arrived,Zurich,2022-06-08 14:00+02:00,Lufthansa
396,EDDS,LX 1018,Arrived,Zurich,2022-06-08 14:00+02:00,SWISS
397,EDDS,OS 153,Arrived,Vienna,2022-06-08 14:20+02:00,Austrian
398,EDDS,TK 1525,Arrived,Istanbul,2022-06-08 14:05+02:00,Turkish
399,EDDS,XQ 186,Arrived,Antalya,2022-06-08 14:10+02:00,SunExpress
400,EDDS,AZ 414,Canceled,Milan,2022-06-08 15:40+02:00,Alitalia
401,EDDS,EW 9339,Arrived,Newcastle upon Tyne,2022-06-08 15:05+02:00,Eurowings
402,EDDS,EW 9421,Arrived,Nice,2022-06-08 15:20+02:00,Eurowings
403,EDDS,EW 9671,Arrived,Heraklion,2022-06-08 15:55+02:00,Eurowings
404,EDDS,EW 9733,Arrived,Kraków,2022-06-08 15:35+02:00,Eurowings
405,EDDS,EW 9811,Canceled,Venice,2022-06-08 15:45+02:00,Eurowings
406,EDDS,EW 9845,Arrived,Olbia,2022-06-08 15:45+02:00,Eurowings
407,EDDS,EW 9961,Arrived,Split,2022-06-08 15:50+02:00,Eurowings
408,EDDS,CL 9956,Approaching,Unknown,2022-06-08 16:17+02:00,Lufthansa CityLine
409,EDDS,EW 9541,Arrived,Ibiza Town,2022-06-08 16:10+02:00,Eurowings
410,EDDS,EW 9923,Arrived,Belgrade,2022-06-08 16:25+02:00,Eurowings
411,EDDS,HR 711,Approaching,Unknown,2022-06-08 16:57+02:00,Hahn Air
412,EDDS,KM 352,Arrived,Luqa,2022-06-08 16:55+02:00,Air Malta
413,EDDS,LH 2018,Canceled,Munich,2022-06-08 16:30+02:00,Lufthansa
414,EDDS,LH 9956,Approaching,Unknown,2022-06-08 16:17+02:00,Lufthansa
415,EDDS,PC 1003,Arrived,Istanbul,2022-06-08 16:10+02:00,Pegasus
416,EDDS,PC 5011,Arrived,Antalya,2022-06-08 16:35+02:00,Pegasus
417,EDDS,TK 7730,Arrived,Istanbul,2022-06-08 16:00+02:00,Turkish
418,EDDS,TP 546,Arrived,Lisbon,2022-06-08 16:55+02:00,TAP Air Portugal
419,EDDS,X3 817P,Approaching,Unknown,2022-06-08 16:36+02:00,TUIfly
420,EDDS,XR 4035,Arrived,Fuerteventura Island,2022-06-08 17:10+02:00,Corendon  Europe
421,EDDS,XQ 188,Arrived,Antalya,2022-06-08 15:45+02:00,SunExpress
422,EDDS,SK 1621,Arrived,Copenhagen,2022-06-08 15:30+02:00,SAS
423,EDDS,HUMMEL 4,Arrived,Unknown,2022-06-08 15:45+02:00,HUMMEL
424,EDDS,AC 9059,Arrived,Lagos,2022-06-08 06:25+02:00,Air Canada
425,EDDS,AC 9197,Arrived,Stuttgart,2022-06-08 06:55+02:00,Air Canada
426,EDDS,AC 9238,Arrived,Duesseldorf,2022-06-08 06:50+02:00,Air Canada
427,EDDS,AC 9271,Arrived,Ad Dammam,2022-06-08 06:50+02:00,Air Canada
428,EDDS,AC 9351,Arrived,Nuremberg,2022-06-08 06:55+02:00,Air Canada
429,EDDS,AC 9452,Arrived,Boston,2022-06-08 06:20+02:00,Air Canada
430,EDDS,CI 61,Unknown,Taipei,2022-06-08 06:50+02:00,China
431,EDDS,EY 1,Arrived,Abu Dhabi Island and Internal Islands City,2022-06-08 06:50+02:00,Etihad Airways
432,EDDS,GF 17,Arrived,Manama,2022-06-08 06:55+02:00,Gulf Air
433,EDDS,LH 127,Arrived,Stuttgart,2022-06-08 06:55+02:00,Lufthansa
434,EDDS,LH 143,Arrived,Nuremberg,2022-06-08 06:55+02:00,Lufthansa
435,EDDS,LH 423,Arrived,Boston,2022-06-08 06:20+02:00,Lufthansa
436,EDDS,LH 569,Arrived,Lagos,2022-06-08 06:25+02:00,Lufthansa
437,EDDS,LH 625,Arrived,Kuwait City,2022-06-08 06:50+02:00,Lufthansa
438,EDDS,LH 631,Arrived,Dubai City,2022-06-08 06:05+02:00,Lufthansa
439,EDDS,LH 6789,Arrived,Toronto,2022-06-08 06:20+02:00,Lufthansa
440,EDDS,LH 73,Arrived,Duesseldorf,2022-06-08 06:50+02:00,Lufthansa
441,EDDS,LX 4005,Arrived,Ad Dammam,2022-06-08 06:50+02:00,SWISS
442,EDDS,LX 4039,Arrived,Lagos,2022-06-08 06:25+02:00,SWISS
443,EDDS,MS 9608,Arrived,Toronto,2022-06-08 06:20+02:00,EgyptAir
444,EDDS,NH 6211,CanceledUncertain,Duesseldorf,2022-06-08 06:50+02:00,ANA
445,EDDS,OS 8202,Arrived,Toronto,2022-06-08 06:20+02:00,Austrian
446,EDDS,OU 5409,Arrived,Duesseldorf,2022-06-08 06:50+02:00,Croatia
447,EDDS,OU 5937,Arrived,Toronto,2022-06-08 06:20+02:00,Croatia
448,EDDS,SN 7239,Arrived,Boston,2022-06-08 06:20+02:00,Brussels
449,EDDS,SN 7261,Arrived,Lagos,2022-06-08 06:25+02:00,Brussels
450,EDDS,SQ 1012,Arrived,Toronto,2022-06-08 06:20+02:00,Singapore
451,EDDS,SQ 26,Arrived,Singapore,2022-06-08 06:45+02:00,Singapore
452,EDDS,TG 920,Arrived,Bangkok,2022-06-08 06:15+02:00,Thai Airways International
453,EDDS,TP 7651,Arrived,Stuttgart,2022-06-08 06:55+02:00,TAP Air Portugal
454,EDDS,TP 7775,Arrived,Duesseldorf,2022-06-08 06:50+02:00,TAP Air Portugal
455,EDDS,TP 7781,Arrived,Nuremberg,2022-06-08 06:55+02:00,TAP Air Portugal
456,EDDS,AC 840,Arrived,Toronto,2022-06-08 06:20+02:00,Air Canada
457,EDDS,AC 6128,Arrived,Bangkok,2022-06-08 06:15+02:00,Air Canada
458,EDDS,AC 9430,Arrived,Casablanca,2022-06-08 05:55+02:00,Air Canada
459,EDDS,TP 8382,Arrived,Bangkok,2022-06-08 06:15+02:00,TAP Air Portugal
460,EDDS,UA 8592,Arrived,Toronto,2022-06-08 06:20+02:00,United
461,EDDS,UA 8751,CanceledUncertain,Nuremberg,2022-06-08 06:55+02:00,United
462,EDDS,UA 8758,Arrived,Ad Dammam,2022-06-08 06:50+02:00,United
463,EDDS,UA 8852,Arrived,Boston,2022-06-08 06:20+02:00,United
464,EDDS,UA 8905,CanceledUncertain,Stuttgart,2022-06-08 06:55+02:00,United
465,EDDS,UA 9155,Arrived,Lagos,2022-06-08 06:25+02:00,United
466,EDDS,UA 9170,Arrived,Duesseldorf,2022-06-08 06:50+02:00,United
467,EDDS,VN 37,Arrived,Hanoi,2022-06-08 06:35+02:00,Vietnam
468,EDDS,XQ 1614,Arrived,Samsun,2022-06-08 06:45+02:00,SunExpress
469,EDDS,A3 1425,Arrived,Copenhagen,2022-06-08 07:55+02:00,Aegean
470,EDDS,A3 1447,Arrived,Dresden,2022-06-08 07:15+02:00,Aegean
471,EDDS,A3 1459,Arrived,Goteborg,2022-06-08 07:45+02:00,Aegean
472,EDDS,A3 1493,Arrived,Vilnius,2022-06-08 07:15+02:00,Aegean
473,EDDS,AA 70,Unknown,Dallas-Fort Worth,2022-06-08 07:20+02:00,American
474,EDDS,AC 6216,Expected,Vienna,2022-06-08 07:50+02:00,Air Canada
475,EDDS,AC 7371,Canceled,Torino,2022-06-08 07:35+02:00,Air Canada
476,EDDS,AC 7375,Arrived,Firenze,2022-06-08 07:55+02:00,Air Canada
477,EDDS,AC 7381,Arrived,Linz,2022-06-08 07:15+02:00,Air Canada
478,EDDS,AC 9000,Expected,Zurich,2022-06-08 07:45+02:00,Air Canada
479,EDDS,AC 9013,Arrived,Beirut,2022-06-08 07:20+02:00,Air Canada
480,EDDS,AC 9017,Expected,Toulouse-Blagnac,2022-06-08 07:40+02:00,Air Canada
481,EDDS,AC 9041,Arrived,Sofia,2022-06-08 07:35+02:00,Air Canada
482,EDDS,AC 9042,Arrived,Hamburg,2022-06-08 07:10+02:00,Air Canada
483,EDDS,AC 9086,Arrived,Goteborg,2022-06-08 07:45+02:00,Air Canada
484,EDDS,AC 9104,Arrived,Toronto,2022-06-08 07:55+02:00,Air Canada
485,EDDS,AC 9116,Arrived,Berlin,2022-06-08 07:55+02:00,Air Canada
486,EDDS,AC 9117,Expected,Berlin,2022-06-08 07:45+02:00,Air Canada
487,EDDS,AC 9129,Arrived,Prague,2022-06-08 07:10+02:00,Air Canada
488,EDDS,AC 9132,Arrived,Dresden,2022-06-08 07:15+02:00,Air Canada
489,EDDS,AC 9136,Arrived,Bremen,2022-06-08 07:15+02:00,Air Canada
490,EDDS,AC 9139,Expected,Hamburg,2022-06-08 07:30+02:00,Air Canada
491,EDDS,AC 9140,Expected,Brussels,2022-06-08 07:40+02:00,Air Canada
492,EDDS,AC 9146,Arrived,Leipzig,2022-06-08 07:10+02:00,Air Canada
493,EDDS,AC 9165,Arrived,Bucharest,2022-06-08 07:55+02:00,Air Canada
494,EDDS,AC 9173,Arrived,Venice,2022-06-08 07:55+02:00,Air Canada
495,EDDS,AC 9174,Arrived,Luxembourg,2022-06-08 07:10+02:00,Air Canada
496,EDDS,AC 9184,Expected,Barcelona,2022-06-08 07:30+02:00,Air Canada
497,EDDS,AC 9199,Arrived,Hanover,2022-06-08 07:05+02:00,Air Canada
498,EDDS,AC 9200,Arrived,Graz,2022-06-08 07:45+02:00,Air Canada
499,EDDS,AC 9222,Arrived,Kraków,2022-06-08 07:35+02:00,Air Canada
500,EDDS,AC 9260,Arrived,Manama,2022-06-08 07:20+02:00,Air Canada
501,EDDS,AC 9265,Arrived,Amman,2022-06-08 07:00+02:00,Air Canada
502,EDDS,AC 9279,Canceled,Geneva,2022-06-08 07:30+02:00,Air Canada
503,EDDS,AC 9280,Expected,Warsaw,2022-06-08 07:30+02:00,Air Canada
504,EDDS,AC 9300,Expected,Rome,2022-06-08 07:30+02:00,Air Canada
505,EDDS,AC 9353,Arrived,New Delhi,2022-06-08 07:40+02:00,Air Canada
506,EDDS,AC 9384,Arrived,Copenhagen,2022-06-08 07:55+02:00,Air Canada
507,EDDS,AC 9444,Arrived,Newark,2022-06-08 07:30+02:00,Air Canada
508,EDDS,AC 9456,Arrived,Philadelphia,2022-06-08 07:30+02:00,Air Canada
509,EDDS,AC 9458,Arrived,Chicago,2022-06-08 07:20+02:00,Air Canada
510,EDDS,AC 9506,Arrived,Vilnius,2022-06-08 07:15+02:00,Air Canada
511,EDDS,AC 9547,Arrived,Wrocław,2022-06-08 07:55+02:00,Air Canada
512,EDDS,AC 9564,Arrived,Billund,2022-06-08 07:45+02:00,Air Canada
513,EDDS,AC 9634,Arrived,Montréal,2022-06-08 07:05+02:00,Air Canada
514,EDDS,CA 635,Arrived,Unknown,2022-06-08 07:29+02:00,Air China LTD
515,EDDS,CAO 635,Arrived,Unknown,2022-06-08 07:29+02:00,CAO
516,EDDS,CX 6799,Arrived,Hong Kong,2022-06-08 07:30+02:00,Cathay Pacific
517,EDDS,EN 8047,Arrived,Linz,2022-06-08 07:15+02:00,Air Dolomiti
518,EDDS,EN 8851,Unknown,Torino,2022-06-08 07:35+02:00,Air Dolomiti
519,EDDS,EN 8861,Arrived,Firenze,2022-06-08 07:55+02:00,Air Dolomiti
520,EDDS,ET 1557,Expected,Barcelona,2022-06-08 07:30+02:00,ET
521,EDDS,ET 1559,Expected,Brussels,2022-06-08 07:40+02:00,ET
522,EDDS,ET 1560,Expected,Budapest,2022-06-08 07:10+02:00,ET
523,EDDS,ET 1561,Expected,Copenhagen,2022-06-08 07:15+02:00,ET
524,EDDS,ET 1571,Expected,Munich,2022-06-08 07:15+02:00,ET
525,EDDS,ET 1572,Expected,Milan,2022-06-08 07:15+02:00,ET
526,EDDS,ET 1578,Expected,Toulouse-Blagnac,2022-06-08 07:40+02:00,ET
527,EDDS,ET 1579,Expected,Berlin,2022-06-08 07:45+02:00,ET
528,EDDS,ET 1606,Expected,Warsaw,2022-06-08 07:30+02:00,ET
529,EDDS,ET 1627,Expected,Zurich,2022-06-08 07:45+02:00,ET
530,EDDS,EY 3769,Arrived,Prague,2022-06-08 07:10+02:00,Etihad Airways
531,EDDS,EY 3770,Arrived,Kraków,2022-06-08 07:35+02:00,Etihad Airways
532,EDDS,EY 3790,Arrived,Goteborg,2022-06-08 07:45+02:00,Etihad Airways
533,EDDS,EY 4170,Arrived,Copenhagen,2022-06-08 07:55+02:00,Etihad Airways
534,EDDS,J2 6613,Arrived,Baku,2022-06-08 07:40+02:00,AZAL Azerbaijan
535,EDDS,LG 1440,Arrived,Bremen,2022-06-08 07:15+02:00,Luxair
536,EDDS,LG 1476,Arrived,Prague,2022-06-08 07:10+02:00,Luxair
537,EDDS,LG 1524,Arrived,Venice,2022-06-08 07:55+02:00,Luxair
538,EDDS,LG 1901,Arrived,Luxembourg,2022-06-08 07:10+02:00,Luxair
539,EDDS,LH 1006,Expected,Brussels,2022-06-08 07:40+02:00,Lufthansa
540,EDDS,LH 1026,Expected,Paris,2022-06-08 07:15+02:00,Lufthansa
541,EDDS,LH 1094,Expected,Toulouse-Blagnac,2022-06-08 07:40+02:00,Lufthansa
542,EDDS,LH 1124,Expected,Barcelona,2022-06-08 07:30+02:00,Lufthansa
543,EDDS,LH 1184,Expected,Zurich,2022-06-08 07:45+02:00,Lufthansa
544,EDDS,LH 1212,Canceled,Geneva,2022-06-08 07:30+02:00,Lufthansa
545,EDDS,LH 1267,Arrived,Graz,2022-06-08 07:45+02:00,Lufthansa
546,EDDS,LH 1309,Arrived,Beirut,2022-06-08 07:20+02:00,Lufthansa
547,EDDS,LH 1334,Expected,Budapest,2022-06-08 07:10+02:00,Lufthansa
548,EDDS,LH 1346,Expected,Warsaw,2022-06-08 07:30+02:00,Lufthansa
549,EDDS,LH 1371,Arrived,Kraków,2022-06-08 07:35+02:00,Lufthansa
550,EDDS,LH 1375,Arrived,Wrocław,2022-06-08 07:55+02:00,Lufthansa
551,EDDS,LH 1381,Arrived,Poznań,2022-06-08 07:45+02:00,Lufthansa
552,EDDS,LH 1403,Arrived,Prague,2022-06-08 07:10+02:00,Lufthansa
553,EDDS,LH 1423,Arrived,Bucharest,2022-06-08 07:55+02:00,Lufthansa
554,EDDS,LH 1429,Arrived,Sofia,2022-06-08 07:35+02:00,Lufthansa
555,EDDS,LH 1561,Arrived,Yerevan,2022-06-08 07:00+02:00,Lufthansa
556,EDDS,LH 157,Arrived,Leipzig,2022-06-08 07:10+02:00,Lufthansa
557,EDDS,LH 173,Arrived,Berlin,2022-06-08 07:55+02:00,Lufthansa
558,EDDS,LH 174,Expected,Berlin,2022-06-08 07:45+02:00,Lufthansa
559,EDDS,LH 207,Arrived,Dresden,2022-06-08 07:15+02:00,Lufthansa
560,EDDS,LH 230,Expected,Rome,2022-06-08 07:30+02:00,Lufthansa
561,EDDS,LH 246,Expected,Milan,2022-06-08 07:15+02:00,Lufthansa
562,EDDS,LH 333,Arrived,Venice,2022-06-08 07:55+02:00,Lufthansa
563,EDDS,LH 351,Arrived,Bremen,2022-06-08 07:15+02:00,Lufthansa
564,EDDS,LH 399,Arrived,Luxembourg,2022-06-08 07:10+02:00,Lufthansa
565,EDDS,LH 4,Expected,Hamburg,2022-06-08 07:30+02:00,Lufthansa
566,EDDS,LH 403,Arrived,Newark,2022-06-08 07:30+02:00,Lufthansa
567,EDDS,LH 427,Arrived,Philadelphia,2022-06-08 07:30+02:00,Lufthansa
568,EDDS,LH 479,Arrived,Montréal,2022-06-08 07:05+02:00,Lufthansa
569,EDDS,LH 49,Arrived,Hanover,2022-06-08 07:05+02:00,Lufthansa
570,EDDS,LH 613,Arrived,Baku,2022-06-08 07:40+02:00,Lufthansa
571,EDDS,LH 6332,Expected,Vienna,2022-06-08 07:50+02:00,Lufthansa
572,EDDS,LH 637,Arrived,Riyadh,2022-06-08 07:20+02:00,Lufthansa
573,EDDS,LH 693,Arrived,Amman,2022-06-08 07:00+02:00,Lufthansa
574,EDDS,LH 6935,Arrived,Linz,2022-06-08 07:15+02:00,Lufthansa
575,EDDS,LH 7,Arrived,Hamburg,2022-06-08 07:10+02:00,Lufthansa
576,EDDS,LH 761,Arrived,New Delhi,2022-06-08 07:40+02:00,Lufthansa
577,EDDS,LH 779,Arrived,Singapore,2022-06-08 07:05+02:00,Lufthansa
578,EDDS,LH 797,Arrived,Hong Kong,2022-06-08 07:30+02:00,Lufthansa
579,EDDS,LH 821,Arrived,Goteborg,2022-06-08 07:45+02:00,Lufthansa
580,EDDS,LH 824,Expected,Copenhagen,2022-06-08 07:15+02:00,Lufthansa
581,EDDS,LH 833,Arrived,Copenhagen,2022-06-08 07:55+02:00,Lufthansa
582,EDDS,LH 843,Arrived,Billund,2022-06-08 07:45+02:00,Lufthansa
583,EDDS,LH 885,Arrived,Tallinn,2022-06-08 07:35+02:00,Lufthansa
584,EDDS,LH 889,Arrived,Vilnius,2022-06-08 07:15+02:00,Lufthansa
585,EDDS,LH 94,Expected,Munich,2022-06-08 07:15+02:00,Lufthansa
586,EDDS,LH 940,Expected,Manchester,2022-06-08 07:45+02:00,Lufthansa
587,EDDS,LH 9497,Arrived,Firenze,2022-06-08 07:55+02:00,Lufthansa
588,EDDS,LH 9527,Canceled,Torino,2022-06-08 07:35+02:00,Lufthansa
589,EDDS,LH 968,Expected,Liverpool,2022-06-08 07:25+02:00,Lufthansa
590,EDDS,LH 976,Expected,Dublin,2022-06-08 07:25+02:00,Lufthansa
591,EDDS,LO 384,Expected,Warsaw,2022-06-08 07:20+02:00,LOT - Polish
592,EDDS,LO 5397,Arrived,Wrocław,2022-06-08 07:55+02:00,LOT - Polish
593,EDDS,LO 5505,Arrived,Kraków,2022-06-08 07:35+02:00,LOT - Polish
594,EDDS,LO 5511,Arrived,Poznań,2022-06-08 07:45+02:00,LOT - Polish
595,EDDS,LX 3601,Expected,Zurich,2022-06-08 07:45+02:00,SWISS
596,EDDS,LX 3661,Canceled,Geneva,2022-06-08 07:30+02:00,SWISS
597,EDDS,LX 4007,Arrived,Manama,2022-06-08 07:20+02:00,SWISS
598,EDDS,LX 4041,Arrived,Philadelphia,2022-06-08 07:30+02:00,SWISS
599,EDDS,NH 5401,CanceledUncertain,Billund,2022-06-08 07:45+02:00,ANA
600,EDDS,LH 471,Arrived,Toronto,2022-06-08 07:55+02:00,Lufthansa
601,EDDS,LH 463,Arrived,Miami,2022-06-08 07:55+02:00,Lufthansa
602,EDDS,LH 431,Arrived,Chicago,2022-06-08 07:20+02:00,Lufthansa
603,EDDS,NH 5407,CanceledUncertain,Goteborg,2022-06-08 07:45+02:00,ANA
604,EDDS,NH 5418,Expected,Toulouse-Blagnac,2022-06-08 07:40+02:00,ANA
605,EDDS,NH 5441,Expected,Barcelona,2022-06-08 07:30+02:00,ANA
606,EDDS,NH 5454,Expected,Dublin,2022-06-08 07:25+02:00,ANA
607,EDDS,NH 5465,Expected,Budapest,2022-06-08 07:10+02:00,ANA
608,EDDS,NH 5871,Expected,Paris,2022-06-08 07:15+02:00,ANA
609,EDDS,NH 5885,Expected,Warsaw,2022-06-08 07:30+02:00,ANA
610,EDDS,NH 5892,CanceledUncertain,Kraków,2022-06-08 07:35+02:00,ANA
611,EDDS,NH 6063,CanceledUncertain,Tallinn,2022-06-08 07:35+02:00,ANA
612,EDDS,NH 6123,CanceledUncertain,Vilnius,2022-06-08 07:15+02:00,ANA
613,EDDS,NH 6153,Expected,Rome,2022-06-08 07:30+02:00,ANA
614,EDDS,NH 6155,Expected,Milan,2022-06-08 07:15+02:00,ANA
615,EDDS,NH 6179,Canceled,Geneva,2022-06-08 07:30+02:00,ANA
616,EDDS,NH 6183,Expected,Copenhagen,2022-06-08 07:15+02:00,ANA
617,EDDS,NH 6196,Expected,Prague,2022-06-08 07:10+02:00,ANA
618,EDDS,NH 6200,CanceledUncertain,Venice,2022-06-08 07:55+02:00,ANA
619,EDDS,NH 6215,Expected,Munich,2022-06-08 07:15+02:00,ANA
620,EDDS,NH 6220,CanceledUncertain,Dresden,2022-06-08 07:15+02:00,ANA
